feature,class
"[-2.7460300e+02  1.0288154e+02  1.3877472e+01  3.4441788e+01
 -1.6847692e+00 -6.7111588e+00 -2.4330132e+01  1.1467713e+01
 -1.8099604e+01  9.3233404e+00 -1.3888569e+01  7.9575648e+00
 -1.4400278e+01  1.5876751e+01 -3.5918517e+00 -2.5230894e+00
 -7.1308365e+00 -5.5972681e+00  1.6362057e+00 -5.3826718e+00
 -6.8735355e-01 -3.3678207e+00 -9.1416512e+00  2.0935345e-02
 -7.6224980e+00 -1.3525345e+00 -2.3214121e+00 -4.2590060e+00
 -6.4611616e+00 -3.2760499e+00 -3.0892944e+00 -1.0817283e+00
 -4.4249749e+00  2.5047915e+00  2.5701044e+00  2.0479906e+00
  1.8088764e-02  1.2763056e+00 -6.9279104e-01 -1.8284183e+00]",fa_him
"[-2.2640184e+02  1.1805997e+02  1.1411116e+01  4.5649418e+01
 -8.3079138e+00 -1.5153211e+01 -1.9916206e+01  1.3650299e+01
 -2.7212353e+01  3.3179724e+00 -2.2407921e+01  7.0538020e+00
 -1.3242096e+01  7.3217530e+00 -3.9540527e+00 -8.2543344e+00
 -7.8462429e+00 -8.1252241e+00 -3.2471817e+00 -5.4403071e+00
 -2.1333945e+00 -3.1614494e+00 -9.4988060e+00 -1.1728863e+00
 -8.4899063e+00 -1.6123676e+00 -3.4973703e-02 -7.5846181e+00
 -9.7999449e+00 -3.0889261e+00 -1.1891309e+00 -5.4328947e+00
 -1.0219408e+01 -4.9264264e+00  1.0400531e+00  4.0522523e+00
  2.8605981e+00  2.2947371e+00 -1.5280079e+00 -6.3783188e+00]",fa_him
"[-246.88057     109.50469      16.721304     40.19938     -15.890824
   -1.2209862   -13.588616     12.1104555   -24.655668      5.7546263
  -16.766024      3.5252929   -13.603649      5.1491714    -3.3026774
   -8.662478     -4.8409142    -7.2600083     0.26438892   -2.2577798
    1.9871917    -6.4615765    -9.919675     -1.1049886    -6.0647764
   -2.156721     -1.5685589    -7.0845485    -8.996288     -2.4105506
   -2.025303     -5.454349     -8.913372     -6.117165     -2.9522345
   -3.2901876    -4.983069     -4.2693934    -0.8241217    -0.50588685]",fa_him
"[-229.008       108.09911       8.593873     55.284184     -0.6632374
  -13.335287    -18.999523      6.694185    -30.246704      7.749674
  -19.611298     10.119242    -20.027325      8.890695     -3.5804472
   -9.988758     -8.95191      -8.719703     -2.517155     -2.2475448
   -1.3818687     2.1877043    -8.341649      0.25473535  -10.498072
    1.8444495    -1.5846521    -8.350549     -7.177679     -0.5559849
   -4.0327644    -5.1907716    -4.210071     -6.675676     -1.3013036
   -8.422108     -4.2421584    -6.2175274    -6.444255     -5.0535913 ]",fa_him
"[-272.4357      116.08178       8.476314     34.784832    -15.518294
   -3.5052664   -11.239262     12.553168    -20.338408      3.5165925
  -12.838995      5.2628727   -12.634576     10.577819     -4.1688952
   -4.482868     -4.9395695   -12.3920555     4.8085127    -4.347544
    0.8381876    -3.6099198   -12.092962     -2.0075839    -3.207386
   -2.2209296    -2.5265336    -6.974342     -7.9298024    -1.1084167
   -0.86562675   -3.1580985    -6.866124     -2.878879     -3.6497195
   -4.1149697    -4.638069     -1.72569       0.366522     -2.6152825 ]",fa_him
"[-2.8694669e+02  1.0298008e+02  9.5560999e+00  5.2801273e+01
  5.3738618e+00 -5.7248278e+00 -9.8282566e+00  1.0414753e+01
 -2.3484001e+01  2.6140027e+00 -2.3027407e+01  6.1597977e+00
 -1.0077010e+01  3.8509924e+00 -2.2893864e-01 -4.6098676e+00
 -2.0955570e+00 -4.0225019e+00  1.0717690e+00 -3.9084008e+00
  1.2817261e+00 -5.4821405e+00 -8.1780014e+00 -2.4127054e+00
 -4.4528012e+00 -2.3374557e+00 -1.6220944e+00 -5.3121481e+00
 -8.1100740e+00 -1.3197306e+00 -3.2019258e+00 -1.1368781e+00
 -1.0195692e+01 -4.4221339e+00 -1.8690685e+00 -2.8059208e+00
 -5.3095045e+00 -5.0662150e+00 -2.0719497e+00 -5.7525263e+00]",fa_him
"[-2.47604675e+02  8.83182449e+01  2.04805565e+01  5.48888283e+01
  7.13461339e-01 -9.89627171e+00 -1.63297615e+01  1.23642788e+01
 -2.98101978e+01  5.91808176e+00 -2.32396374e+01  3.61006761e+00
 -1.58959255e+01  1.08859787e+01 -6.29012871e+00 -4.51249123e+00
 -6.73229647e+00 -1.96891260e+00 -4.97897291e+00 -4.23697853e+00
  2.03560209e+00 -2.32523394e+00 -1.25400085e+01  6.24152005e-01
 -5.13383532e+00 -3.89995575e+00 -2.00331435e-01 -8.22197056e+00
 -6.79187775e+00 -7.45382404e+00 -3.52103257e+00 -3.56155753e+00
 -8.38611507e+00 -3.87488031e+00 -1.04276013e+00 -7.43787193e+00
 -6.41192818e+00 -6.03749800e+00 -2.63998818e+00 -5.41635036e+00]",fa_him
"[-271.67538      97.70411      16.480215     44.823208    -13.138965
    0.32764533  -10.002593      5.666885    -29.528717      7.957866
  -14.637766      3.717885    -11.668797     11.160374     -1.7653333
   -4.73125      -2.9202569    -3.8337996     0.9646948    -4.767733
    1.9254905    -5.996869     -5.9965606    -1.6292064    -5.583702
   -3.2339447     2.2844012    -4.532474     -6.8633757    -2.1402953
   -0.3502217    -4.2741656    -5.348453     -0.94176364   -3.1135294
   -3.9580877    -3.2447927    -0.7680881    -2.4043157    -4.884045  ]",fa_him
"[-3.1180698e+02  7.0319969e+01  3.0739706e+00  3.4808212e+01
 -3.7374907e+00  9.4144411e+00 -2.0502100e+01  7.7589664e+00
 -1.4017803e+01  1.2375155e+01 -1.8641953e+01  6.3044600e+00
 -7.2310719e+00  1.4679574e+01 -3.9196447e-01 -1.8166555e-01
  6.6864729e-01  1.1973959e+00  5.6269336e+00 -2.1784966e+00
  6.3586655e+00  7.8042603e-01 -2.7246771e+00 -2.7161801e+00
 -3.4585168e+00  3.6318019e-01  1.6515709e+00 -4.6530852e+00
 -5.5610189e+00 -5.5787331e-01 -3.9414649e+00 -1.8861030e+00
 -7.8950520e+00  2.6340842e+00  1.5463550e+00  2.2852480e+00
 -1.6634027e+00  5.5315626e-01  2.3710463e+00 -2.6008954e+00]",fa_him
"[-2.6600305e+02  1.0941211e+02  1.0628198e+01  2.9459776e+01
 -1.7605272e+01 -7.5905714e+00 -1.3738125e+01  6.3263078e+00
 -1.8775436e+01  7.8267636e+00 -1.3712157e+01  5.9743376e+00
 -6.0312028e+00  1.0620427e+01 -4.5854874e+00 -3.9897692e+00
 -4.1986032e+00 -4.3445277e+00  2.4542422e+00 -4.9381876e+00
  2.4263122e+00 -3.1718836e+00 -7.9593892e+00 -1.8294941e+00
 -5.2126803e+00 -3.4501152e+00  1.6455002e-01 -7.0916824e+00
 -5.1342463e+00 -4.6623039e-01 -2.0502717e+00 -1.4593418e+00
 -8.1331100e+00 -7.4243110e-01 -4.2961303e-02 -9.0138984e-01
 -4.3902035e+00 -1.6367977e+00 -2.3892617e+00 -2.4128790e+00]",fa_him
